,time,SOC,load,cost,newEVs
2023-01-01 00:00:00+00:00,0,0.0625,0.1,4.456467,0
2023-01-01 00:15:00+00:00,1,0.125,0.1,4.7420225,0
2023-01-01 00:30:00+00:00,2,0.1875,0.1,4.744373250000001,0
2023-01-01 00:45:00+00:00,3,0.25,0.1,4.691955500000001,0
2023-01-01 01:00:00+00:00,4,0.3125,0.1,4.4778037500000005,0
2023-01-01 01:15:00+00:00,5,0.375,0.1,4.4892325,0
2023-01-01 01:30:00+00:00,6,0.4375,0.1,4.3327995,0
2023-01-01 01:45:00+00:00,7,0.5,0.1,4.23076675,0
2023-01-01 02:00:00+00:00,8,0.5625,0.1,4.1851765,0
2023-01-01 02:15:00+00:00,9,0.625,0.1,4.62783925,0
2023-01-01 02:30:00+00:00,10,0.6875,0.1,4.078013250000001,0
2023-01-01 02:45:00+00:00,11,0.75,0.1,3.7074625,0
2023-01-01 03:00:00+00:00,12,0.8125,0.1,3.3041855,0
2023-01-01 03:15:00+00:00,13,0.875,0.1,3.2744902500000004,0
2023-01-01 03:30:00+00:00,14,0.9375,0.1,2.967941,0
2023-01-01 03:45:00+00:00,15,1.0,0.1,2.9436987500000003,0
2023-01-01 04:00:00+00:00,16,1.0,0.0,0.0,0
2023-01-01 04:15:00+00:00,17,1.0,0.0,0.0,0
2023-01-01 04:30:00+00:00,18,1.0,0.0,0.0,0
2023-01-01 04:45:00+00:00,19,1.0,0.0,0.0,0
2023-01-01 05:00:00+00:00,20,1.0,0.0,0.0,0
2023-01-01 05:15:00+00:00,21,1.0,0.0,0.0,0
2023-01-01 05:30:00+00:00,22,1.0,0.0,0.0,0
2023-01-01 05:45:00+00:00,23,1.0,0.0,0.0,0
2023-01-01 06:00:00+00:00,24,1.0,0.0,0.0,0
2023-01-01 06:15:00+00:00,25,1.0,0.0,0.0,0
2023-01-01 06:30:00+00:00,26,1.0,0.0,0.0,0
2023-01-01 06:45:00+00:00,27,1.0,0.0,0.0,0
2023-01-01 07:00:00+00:00,28,1.0,0.0,0.0,0
2023-01-01 07:15:00+00:00,29,1.0,0.0,0.0,0
2023-01-01 07:30:00+00:00,30,1.0,0.0,0.0,0
2023-01-01 07:45:00+00:00,31,1.0,0.0,0.0,0
2023-01-01 08:00:00+00:00,32,1.0,0.0,0.0,0
2023-01-01 08:15:00+00:00,33,1.0,0.0,0.0,0
2023-01-01 08:30:00+00:00,34,1.0,0.0,0.0,0
2023-01-01 08:45:00+00:00,35,1.0,0.0,0.0,0
2023-01-01 09:00:00+00:00,36,1.0,0.0,0.0,0
2023-01-01 09:15:00+00:00,37,1.0,0.0,0.0,0
2023-01-01 09:30:00+00:00,38,1.0,0.0,0.0,0
2023-01-01 09:45:00+00:00,39,1.0,0.0,0.0,0
2023-01-01 10:00:00+00:00,40,1.0,0.0,0.0,0
2023-01-01 10:15:00+00:00,41,1.0,0.0,0.0,0
2023-01-01 10:30:00+00:00,42,1.0,0.0,0.0,0
2023-01-01 10:45:00+00:00,43,1.0,0.0,0.0,0
2023-01-01 11:00:00+00:00,44,1.0,0.0,0.0,0
2023-01-01 11:15:00+00:00,45,1.0,0.0,0.0,0
2023-01-01 11:30:00+00:00,46,1.0,0.0,0.0,0
2023-01-01 11:45:00+00:00,47,1.0,0.0,0.0,0
2023-01-01 12:00:00+00:00,48,1.0,0.0,0.0,0
2023-01-01 12:15:00+00:00,49,1.0,0.0,0.0,0
2023-01-01 12:30:00+00:00,50,1.0,0.0,0.0,0
2023-01-01 12:45:00+00:00,51,1.0,0.0,0.0,0
2023-01-01 13:00:00+00:00,52,1.0,0.0,0.0,0
2023-01-01 13:15:00+00:00,53,1.0,0.0,0.0,0
2023-01-01 13:30:00+00:00,54,1.0,0.0,0.0,0
2023-01-01 13:45:00+00:00,55,1.0,0.0,0.0,0
2023-01-01 14:00:00+00:00,56,1.0,0.0,0.0,0
2023-01-01 14:15:00+00:00,57,1.0,0.0,0.0,0
2023-01-01 14:30:00+00:00,58,1.0,0.0,0.0,0
2023-01-01 14:45:00+00:00,59,1.0,0.0,0.0,0
2023-01-01 15:00:00+00:00,60,1.0,0.0,0.0,0
2023-01-01 15:15:00+00:00,61,1.0,0.0,0.0,0
2023-01-01 15:30:00+00:00,62,1.0,0.0,0.0,0
2023-01-01 15:45:00+00:00,63,1.0,0.0,0.0,0
2023-01-01 16:00:00+00:00,64,1.0,0.0,0.0,0
2023-01-01 16:15:00+00:00,65,1.0,0.0,0.0,0
2023-01-01 16:30:00+00:00,66,1.0,0.0,0.0,0
2023-01-01 16:45:00+00:00,67,1.0,0.0,0.0,0
2023-01-01 17:00:00+00:00,68,1.0,0.0,0.0,0
2023-01-01 17:15:00+00:00,69,1.0,0.0,0.0,0
2023-01-01 17:30:00+00:00,70,1.0,0.0,0.0,0
2023-01-01 17:45:00+00:00,71,1.0,0.0,0.0,0
2023-01-01 18:00:00+00:00,72,1.0,0.0,0.0,0
2023-01-01 18:15:00+00:00,73,1.0,0.0,0.0,0
2023-01-01 18:30:00+00:00,74,1.0,0.0,0.0,0
2023-01-01 18:45:00+00:00,75,1.0,0.0,0.0,0
2023-01-01 19:00:00+00:00,76,1.0,0.0,0.0,0
2023-01-01 19:15:00+00:00,77,1.0,0.0,0.0,0
2023-01-01 19:30:00+00:00,78,1.0,0.0,0.0,0
2023-01-01 19:45:00+00:00,79,1.0,0.0,0.0,0
2023-01-01 20:00:00+00:00,80,1.0,0.0,0.0,0
2023-01-01 20:15:00+00:00,81,1.0,0.0,0.0,0
2023-01-01 20:30:00+00:00,82,1.0,0.0,0.0,0
2023-01-01 20:45:00+00:00,83,1.0,0.0,0.0,0
2023-01-01 21:00:00+00:00,84,1.0,0.0,0.0,0
2023-01-01 21:15:00+00:00,85,1.0,0.0,0.0,0
2023-01-01 21:30:00+00:00,86,1.0,0.0,0.0,0
2023-01-01 21:45:00+00:00,87,1.0,0.0,0.0,0
2023-01-01 22:00:00+00:00,88,1.0,0.0,0.0,0
2023-01-01 22:15:00+00:00,89,1.0,0.0,0.0,1
2023-01-01 22:30:00+00:00,90,0.9375,0.04753721119725657,2.24656629306438,1
